Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min),Distance
37,4.9,Snack ,motorcycle ,24,3.0251492848200967
34,4.5,Snack ,scooter ,33,20.18352972880471
23,4.4,Drinks ,motorcycle ,26,1.5527577991455996
38,4.7,Buffet ,motorcycle ,21,7.790401360037451
32,4.6,Snack ,scooter ,30,6.210137966185172
22,4.8,Buffet ,motorcycle ,26,4.610365145089627
33,4.7,Meal ,scooter ,40,16.60036112798735
35,4.6,Meal ,motorcycle ,32,20.20525323533646
22,4.8,Buffet ,motorcycle ,34,19.975520086141493
36,4.2,Snack ,motorcycle ,46,10.280582064333974
21,4.7,Meal ,motorcycle ,23,6.242318682874341
23,4.7,Drinks ,scooter ,21,13.78786023937806
34,4.3,Buffet ,motorcycle ,20,2.9302578002453665
24,4.7,Snack ,scooter ,41,19.396618290430098
29,4.5,Buffet ,electric_scooter ,20,13.763977224514544
35,4.0,Meal ,scooter ,33,6.218001191085242
33,4.2,Snack ,motorcycle ,40,16.84993991793859
34,4.9,Snack ,motorcycle ,41,10.757108799867373
21,4.7,Meal ,motorcycle ,15,4.540574387939176
25,4.1,Snack ,motorcycle ,36,12.256076445537179
31,4.7,Meal ,electric_scooter ,26,19.61873934890992
37,5.0,Snack ,motorcycle ,20,1.5581322619127131
33,4.3,Meal ,scooter ,39,20.180635114052397
25,4.0,Buffet ,motorcycle ,34,6.11697166963588
29,4.5,Meal ,electric_scooter ,15,17.07559440112779
27,5.0,Snack ,motorcycle ,18,4.470286488990575
35,4.3,Drinks ,scooter ,38,13.682044526239006
32,4.0,Buffet ,motorcycle ,47,13.973182654041272
23,4.8,Buffet ,electric_scooter ,12,16.853618729835706
31,4.8,Drinks ,motorcycle ,26,4.674172123416107
36,4.1,Drinks ,motorcycle ,22,7.601616770989604
26,4.3,Buffet ,motorcycle ,21,7.720324413319018
38,4.9,Drinks ,scooter ,25,6.175636260875708
32,3.5,Snack ,scooter ,35,17.29786575292793
32,4.6,Drinks ,scooter ,30,19.914686965560655
33,4.9,Snack ,motorcycle ,22,10.724517747527821
20,4.7,Snack ,scooter ,10,6.127835452686008
20,4.8,Meal ,scooter ,19,1.5203573112089972
35,5.0,Snack ,scooter ,11,3.073453761389082
26,4.9,Buffet ,scooter ,11,3.1051314789639592
22,4.8,Snack ,motorcycle ,28,10.867426834443098
35,4.3,Snack ,motorcycle ,33,10.865464603565286
29,4.6,Drinks ,scooter ,33,12.236723616188968
37,4.7,Snack ,motorcycle ,52,13.68251629861621
28,4.6,Snack ,scooter ,22,16.826241648263174
37,4.9,Snack ,scooter ,16,3.0272369300465924
23,4.9,Drinks ,electric_scooter ,11,9.175193843914078
27,4.9,Drinks ,scooter ,25,9.315069177325897
