Country,MilitaryStrengthPowerIndex,AircraftStrengthvalue,Fighter/InterceptorStrengthvalue,AttackAircraftStrengthvalue,TransportAircraftFleetStrengthvalue,TrainerAircraftFleetvalue,HelicopterFleetStrengthvalue,AttackHelicopterFleetStrengthvalue,TankStrengthvalue,AFV/APCStrengthvalue,Self-PropelledArtilleryStrengthvalue,TowedArtilleryStrengthvalue,RocketProjectorStrengthvalue,NavyFleetStrengthsvalue,AircraftCarrierFleetStrengthvalue,SubmarineFleetStrengthvalue,DestroyerFleetStrengthvalue,FrigateFleetStrengthvalue,defensespendingbudgetvalue,ExternalDebtvalue,AirportTotalsvalue,OilProductionvalue,OilConsumptionvalue,ProvenOilReservesvalue,AvailableManpowervalue,TotalPopulationvalue,TotalSquareLandAreavalue,TotalCoastlineCoveragevalue,TotalWaterwayCoveragevalue,TotalBorderCoveragevalue
Afghanistan,1.3444,260.0,0.0,25.0,30.0,0.0,187.0,0.0,0.0,1062.0,0.0,176.0,50.0,0.0,0.0,0.0,0.0,0.0,12000000000.0,2840000000.0,43.0,0.0,5500.0,0.0,14325743.0,34940837.0,652230.0,0.0,1200.0,5987.0
Albania,2.3137,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,467.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,250000000.0,9505000000.0,4.0,16000.0,42500.0,168300000.0,1519438.0,3057220.0,28748.0,362.0,41.0,691.0
Algeria,0.4659,551.0,103.0,22.0,59.0,87.0,257.0,45.0,880.0,7361.0,320.0,240.0,316.0,201.0,0.0,6.0,0.0,5.0,13000000000.0,6260000000.0,157.0,1306000.0,325000.0,12200000000.0,20741263.0,41657488.0,2381741.0,998.0,0.0,6734.0
Angola,0.8379,295.0,72.0,18.0,30.0,47.0,126.0,15.0,379.0,595.0,28.0,357.0,115.0,57.0,0.0,0.0,0.0,0.0,7000000000.0,42080000000.0,176.0,1666000.0,82300.0,8273000000.0,6244205.0,30355880.0,1246700.0,1600.0,1300.0,5369.0
Argentina,0.6521,227.0,24.0,7.0,9.0,64.0,100.0,0.0,370.0,739.0,83.0,172.0,26.0,49.0,0.0,2.0,4.0,0.0,4200000000.0,214900000000.0,1138.0,479400.0,685000.0,2185000000.0,20179430.0,44694198.0,2780400.0,4989.0,11000.0,11968.0
Armenia,2.1251,64.0,0.0,9.0,3.0,13.0,37.0,20.0,110.0,748.0,38.0,150.0,68.0,0.0,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,1385000000.0,10410000000.0,11.0,0.0,47500.0,0.0,1696085.0,3038217.0,29743.0,6171.3302752293575,0.0,1570.0
Australia,0.3225,464.0,82.0,6.0,38.0,174.0,133.0,22.0,59.0,3051.0,0.0,54.0,0.0,48.0,2.0,6.0,2.0,8.0,26300000000.0,1714000000000.0,480.0,263000.0,1005000.0,1821000000.0,10808002.0,23470145.0,7741220.0,25760.0,2000.0,3964.2248062015506
Austria,0.9568,120.0,15.0,0.0,11.0,32.0,62.0,0.0,56.0,467.0,33.0,0.0,0.0,0.0,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,3380000000.0,630800000000.0,52.0,14260.0,215000.0,43000000.0,4017691.0,8793370.0,83871.0,6171.3302752293575,0.0,2524.0
Azerbaijan,0.9463,147.0,17.0,12.0,1.0,29.0,88.0,17.0,570.0,1451.0,187.0,227.0,162.0,31.0,0.0,4.0,0.0,1.0,2805000000.0,17410000000.0,37.0,789300.0,180000.0,7000000000.0,5042346.0,10046516.0,86600.0,713.0,0.0,2468.0
Bahrain,1.8547,109.0,17.0,0.0,2.0,37.0,65.0,22.0,180.0,843.0,33.0,26.0,17.0,39.0,0.0,0.0,0.0,1.0,1415000000.0,52150000000.0,4.0,45000.0,55000.0,124600000.0,806505.0,1422659.0,760.0,161.0,0.0,3964.2248062015506
Bangladesh,0.7066,177.0,44.0,0.0,11.0,57.0,67.0,0.0,276.0,1230.0,18.0,419.0,72.0,112.0,0.0,2.0,0.0,8.0,3800000000.0,50260000000.0,18.0,3666.0,112000.0,28000000.0,78913289.0,159453001.0,143998.0,580.0,8370.0,4413.0
Belarus,0.8179,202.0,39.0,68.0,4.0,28.0,63.0,21.0,532.0,1560.0,482.0,228.0,238.0,0.0,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,623702800.0,39920000000.0,65.0,32000.0,190000.0,198000000.0,4982905.0,9527543.0,207600.0,6171.3302752293575,2500.0,3599.0
